AÑO,LOCAL_EQUIPO,LOCAL_VICTORIAS, LOCAL_DERROTAS, LOCAL_EMPATES, LOCAL_GOL,LOCAL_GOL_HT  ,LOCAL_AMARILLA ,LOCAL_ROJA,LOCAL_TIRO_ARCO,VISITA_EQUIPO,VISITA_VICTORIAS, VISITA_DERROTAS, VISITA_EMPATES, VISITA_GOL,VISITA_GOL_HT  ,VISITA_AMARILLA ,VISITA_ROJA,VISITA_TIRO_ARCO
2011,BLACKBURN,10,4,5,27,13,23,1,117,WOLVES,3,11,4,30,12,21,0,153,-1
2011,FULHAM,7,6,6,23,7,18,0,126,ASTON VILLA,6,9,3,34,17,19,0,174,0
2011,LIVERPOOL,12,3,3,32,19,18,2,134,SUNDERLAND,2,10,7,34,16,26,3,156,0
2011,NEWCASTLE,3,4,3,20,9,20,0,78,ARSENAL,8,6,5,23,10,29,5,108,0
2011,STOKE,7,7,6,25,10,29,3,136,CHELSEA,8,6,5,19,11,31,0,101,0
2011,WEST BROM,4,3,2,12,5,12,2,77,MAN UNITED,6,1,10,17,5,29,0,109,-1
2011,ARSENAL,13,4,2,42,17,32,3,186,LIVERPOOL,2,9,7,22,6,27,0,102,-1
2011,ASTON VILLA,6,3,10,27,10,30,0,129,BLACKBURN,5,10,4,35,13,31,3,153,1
2011,CHELSEA,15,2,1,60,29,20,3,187,WEST BROM,2,6,2,21,9,14,1,73,1
2011,SUNDERLAND,9,2,8,25,14,32,1,137,NEWCASTLE,3,5,1,17,8,19,2,58,-1
2011,BOLTON,9,4,6,31,12,26,3,164,MAN CITY,9,4,6,20,7,27,4,126,-1
2011,WOLVES,6,7,6,18,8,26,1,113,FULHAM,1,10,8,27,14,22,1,156,1
2011,MAN UNITED,17,1,1,55,21,20,0,191,TOTTENHAM,7,8,3,29,13,32,1,144,1
2011,ASTON VILLA,6,3,10,27,10,30,0,129,WOLVES,3,11,4,30,12,21,0,153,0
2011,BLACKBURN,10,4,5,27,13,23,1,117,EVERTON,5,4,11,21,11,33,2,115,-1
2011,LIVERPOOL,12,3,3,32,19,18,2,134,BOLTON,4,12,5,35,12,23,2,171,1
2011,MAN UNITED,17,1,1,55,21,20,0,191,ARSENAL,8,6,5,23,10,29,5,108,1
2011,NEWCASTLE,3,4,3,20,9,20,0,78,FULHAM,1,10,8,27,14,22,1,156,1
2011,TOTTENHAM,12,1,6,30,15,29,1,198,MAN CITY,9,4,6,20,7,27,4,126,-1
2011,WEST BROM,4,3,2,12,5,12,2,77,STOKE,6,7,5,26,15,16,1,150,-1
2011,BOLTON,9,4,6,31,12,26,3,164,MAN UNITED,6,1,10,17,5,29,0,109,-1
