AÑO,EQUIPO_LOCAL,VICTORIAS,DERROTAS,EMPATES,LOCAL_GOL,LOCAL_GOL_HT,LOCAL_AMARILLA,LOCAL_ROJA,LOCAL_TIRO_ARCO
2008,Newcastle,7,7,5,25,12,20,2,118
2008,Portsmouth,9,6,4,27,11,26,2,157
2008,Reading,2,6,1,5,1,13,2,47
2008,Stoke,5,3,2,12,3,20,1,42
2008,Sunderland,8,9,2,23,13,36,0,119
2008,Tottenham,6,6,7,23,9,23,0,164
2008,West Brom,4,4,2,13,4,19,0,79
2008,West Ham,8,7,4,25,13,25,2,139
2008,Wigan,9,5,5,19,9,27,2,131
2009,Arsenal,13,2,3,42,19,19,0,185
2009,Aston Villa,9,4,6,28,17,21,0,132
2009,Birmingham,5,2,3,8,3,16,1,62
2009,Blackburn,8,3,8,25,7,28,2,137
2009,Bolton,6,6,7,29,14,32,2,130
2009,Burnley,5,1,4,14,7,8,0,60
2009,Chelsea,16,0,3,43,16,11,0,213
2009,Everton,9,3,7,33,11,21,1,159
2009,Fulham,11,6,2,27,10,20,0,128
2009,Hull,4,9,6,21,10,26,3,113
2009,Liverpool,12,2,5,51,17,22,1,192
2009,Man City,14,1,3,38,21,18,1,144
2009,Man United,17,2,2,47,21,26,1,205
2009,Middlesbrough,2,1,6,8,5,12,1,58
2009,Newcastle,1,4,4,8,3,10,2,63
2009,Portsmouth,7,11,1,25,7,38,3,151
2009,Stoke,9,4,5,21,11,37,1,77
2009,Sunderland,8,7,4,28,12,37,2,105
2009,Tottenham,14,3,2,40,17,23,0,192
2009,West Brom,3,5,1,13,5,19,1,62
2009,West Ham,8,7,4,28,13,29,1,134
2009,Wigan,6,6,6,16,7,25,1,121
2009,Wolves,3,5,2,9,3,14,0,78
2010,Arsenal,13,4,2,42,17,32,3,186
2010,Aston Villa,6,3,10,27,10,30,0,129
2010,Birmingham,6,1,11,20,7,32,1,86
2010,Blackburn,10,4,5,27,13,23,1,117
2010,Blackpool,2,2,2,11,4,7,0,43
2010,Bolton,9,4,6,31,12,26,3,164
2010,Burnley,2,6,1,11,3,12,0,57
2010,Chelsea,15,2,1,60,29,20,3,187
2010,Everton,10,3,5,31,13,21,2,143
2010,Fulham,7,6,6,23,7,18,0,126
2010,Hull,2,4,3,9,6,18,2,45
2010,Liverpool,12,3,3,32,19,18,2,134
2010,Man City,11,5,4,32,16,31,3,142
2010,Man United,17,1,1,55,21,20,0,191
2010,Newcastle,3,4,3,20,9,20,0,78
2010,Portsmouth,2,4,3,11,5,15,2,73
2010,Stoke,7,7,6,25,10,29,3,136
2010,Sunderland,9,2,8,25,14,32,1,137
2010,Tottenham,12,1,6,30,15,29,1,198
2010,West Brom,4,3,2,12,5,12,2,77
2010,West Ham,6,7,6,24,10,22,0,135
2010,Wigan,5,6,9,19,7,26,1,152
2010,Wolves,6,7,6,18,8,26,1,113
2011,Arsenal,12,2,6,27,9,28,2,180
2011,Aston Villa,7,6,5,22,12,25,3,98
2011,Birmingham,3,4,3,10,4,12,1,38
2011,Blackburn,5,9,4,22,11,39,0,122
2011,Blackpool,3,7,3,19,11,15,0,91
2011,Bolton,6,11,2,24,9,24,3,165
2011,Chelsea,13,4,3,43,18,39,1,180
2011,Everton,10,4,5,30,10,28,2,165
2011,Fulham,9,4,5,33,13,31,1,171
2011,Liverpool,11,1,8,36,17,28,0,175
2011,Man City,17,0,1,49,20,19,1,175
2011,Man United,16,2,1,52,23,23,2,206
2011,Newcastle,7,3,8,33,16,27,1,144
2011,Norwich,4,3,3,17,7,13,1,70
2011,QPR,1,4,4,8,4,12,2,55
2011,Stoke,10,3,6,33,14,32,0,98
2011,Sunderland,4,9,5,27,16,27,2,128
2011,Swansea,4,1,5,12,4,14,0,62
2011,Tottenham,10,1,6,31,16,18,0,183
2011,West Brom,6,7,6,25,14,25,1,149
2011,West Ham,3,5,1,12,7,8,0,78
2011,Wigan,4,7,7,21,8,35,1,140
2011,Wolves,7,7,4,29,14,29,0,131
2012,Arsenal,10,4,4,48,22,29,0,169
2012,Aston Villa,3,8,9,17,6,28,2,125
2012,Blackburn,4,5,1,14,6,14,1,76
2012,Bolton,3,3,3,12,7,12,0,63
2012,Chelsea,11,2,5,40,19,19,2,177
2012,Everton,12,3,5,36,18,29,0,158
2012,Fulham,11,5,4,39,16,16,1,169
2012,Liverpool,6,7,6,24,10,18,1,178
2012,Man City,16,1,3,49,16,24,1,210
2012,Man United,17,1,1,50,21,23,0,203
2012,Newcastle,12,5,3,29,13,36,0,149
2012,Norwich,8,6,5,24,13,26,1,138
2012,QPR,7,8,5,24,10,28,5,165
