AÑO,LOCAL_EQUIPO,LOCAL_VICTORIAS, LOCAL_DERROTAS, LOCAL_EMPATES, LOCAL_GOL,LOCAL_GOL_HT  ,LOCAL_AMARILLA ,LOCAL_ROJA,LOCAL_TIRO_ARCO,VISITA_EQUIPO,VISITA_VICTORIAS, VISITA_DERROTAS, VISITA_EMPATES, VISITA_GOL,VISITA_GOL_HT  ,VISITA_AMARILLA ,VISITA_ROJA,VISITA_TIRO_ARCO,RESULTADO
2009,ASTON VILLA,9,3,7,36,11,13,0,112,WIGAN,5,8,5,21,10,15,2,109,-1
2009,BLACKBURN,6,5,8,25,12,34,1,101,MAN CITY,4,10,6,37,10,27,2,146,-1
2009,BOLTON,6,9,4,16,10,26,0,144,SUNDERLAND,5,11,3,28,13,29,2,145,-1
2009,CHELSEA,10,2,7,33,18,26,0,177,HULL,4,2,4,17,11,16,1,99,1
2009,EVERTON,7,5,7,24,10,21,1,117,ARSENAL,9,5,5,23,11,32,2,96,-1
2009,PORTSMOUTH,9,6,4,27,11,26,2,157,FULHAM,3,7,8,16,7,13,0,114,-1
2009,MAN UNITED,15,1,1,45,19,18,1,218,BIRMINGHAM,0,7,2,20,10,6,1,78,1
2009,TOTTENHAM,6,6,7,23,9,23,0,164,LIVERPOOL,10,3,6,16,7,28,3,86,1
2009,SUNDERLAND,8,9,2,23,13,36,0,119,CHELSEA,15,0,4,9,4,21,0,103,-1
2009,BIRMINGHAM,3,1,5,18,6,11,2,55,PORTSMOUTH,5,11,3,30,17,16,1,149,1
2009,HULL,3,5,2,10,4,14,1,60,TOTTENHAM,4,10,5,30,12,33,3,134,-1
2009,LIVERPOOL,14,0,6,39,15,21,0,187,STOKE,0,7,3,22,13,10,0,105,1
2009,ARSENAL,11,2,6,31,14,21,1,163,PORTSMOUTH,5,11,3,30,17,16,1,149,1
2009,BIRMINGHAM,3,1,5,18,6,11,2,55,STOKE,0,7,3,22,13,10,0,105,0
2009,HULL,3,5,2,10,4,14,1,60,BOLTON,6,10,3,30,12,26,1,176,1
2009,SUNDERLAND,8,9,2,23,13,36,0,119,BLACKBURN,5,9,5,32,11,24,1,113,1
2009,WIGAN,9,5,5,19,9,27,2,131,MAN UNITED,9,3,7,13,6,41,1,124,-1
2009,FULHAM,9,7,3,23,10,25,2,125,CHELSEA,15,0,4,9,4,21,0,103,-1
2009,WEST HAM,8,7,4,25,13,25,2,139,TOTTENHAM,4,10,5,30,12,33,3,134,-1
2009,LIVERPOOL,14,0,6,39,15,21,0,187,ASTON VILLA,9,6,4,27,11,32,1,136,-1
