AÑO,LOCAL_EQUIPO,LOCAL_VICTORIAS, LOCAL_DERROTAS, LOCAL_EMPATES, LOCAL_GOL,LOCAL_GOL_HT  ,LOCAL_AMARILLA ,LOCAL_ROJA,LOCAL_TIRO_ARCO,VISITA_EQUIPO,VISITA_VICTORIAS, VISITA_DERROTAS, VISITA_EMPATES, VISITA_GOL,VISITA_GOL_HT  ,VISITA_AMARILLA ,VISITA_ROJA,VISITA_TIRO_ARCO,RESULTADO
2006,ARSENAL,15,2,1,47,26,25,0,156,ASTON VILLA,5,9,5,35,19,27,3,137,0
2006,BOLTON,10,2,5,22,10,21,1,142,TOTTENHAM,3,8,7,25,11,15,1,120,1
2006,NEWCASTLE,8,2,7,17,10,25,4,120,WIGAN,5,4,0,10,6,10,0,61,1
2006,PORTSMOUTH,5,7,7,21,15,36,3,113,BLACKBURN,5,9,6,20,8,35,3,107,1
2006,WEST HAM,4,4,1,14,4,12,0,45,CHARLTON,6,7,4,21,8,17,0,137,1
2006,CHELSEA,17,0,3,43,17,21,0,163,MAN CITY,5,7,7,26,16,25,1,99,1
2006,MAN UNITED,11,2,6,32,16,26,0,185,FULHAM,2,13,5,36,14,25,2,150,1
2006,BLACKBURN,9,6,2,22,9,28,3,115,EVERTON,5,12,3,40,16,18,4,150,0
2006,CHARLTON,5,11,3,24,13,17,3,97,MAN UNITED,13,3,3,17,10,33,2,90,-1
2006,FULHAM,10,3,5,33,15,26,1,92,BOLTON,9,6,4,23,9,17,0,132,0
2006,MAN CITY,10,5,4,26,12,23,0,116,PORTSMOUTH,2,15,2,40,19,17,0,125,0
2006,MIDDLESBROUGH,6,6,8,26,14,27,2,144,CHELSEA,15,1,2,7,5,37,2,80,1
2006,CHARLTON,5,11,3,24,13,17,3,97,BOLTON,9,6,4,23,9,17,0,132,1
2006,LIVERPOOL,12,3,4,27,15,21,1,144,WEST HAM,3,4,4,15,8,21,1,84,1
2006,MAN CITY,10,5,4,26,12,23,0,116,ARSENAL,7,7,5,17,9,34,2,70,1
2006,TOTTENHAM,13,2,5,36,13,29,1,140,EVERTON,5,12,3,40,16,18,4,150,-1
2006,ASTON VILLA,6,7,6,22,9,22,1,107,NEWCASTLE,4,12,4,26,10,29,1,131,1
2006,BLACKBURN,9,6,2,22,9,28,3,115,CHELSEA,15,1,2,7,5,37,2,80,-1
2006,MIDDLESBROUGH,6,6,8,26,14,27,2,144,PORTSMOUTH,2,15,2,40,19,17,0,125,-1
2006,ARSENAL,15,2,1,47,26,25,0,156,MIDDLESBROUGH,3,8,6,23,5,20,0,129,0
2006,CHELSEA,17,0,3,43,17,21,0,163,CHARLTON,6,7,4,21,8,17,0,137,1
2006,EVERTON,7,9,2,16,7,35,3,105,LIVERPOOL,7,7,3,18,11,22,4,75,1
2006,MAN UNITED,11,2,6,32,16,26,0,185,TOTTENHAM,3,8,7,25,11,15,1,120,1
2006,NEWCASTLE,8,2,7,17,10,25,4,120,FULHAM,2,13,5,36,14,25,2,150,-1
2006,PORTSMOUTH,5,7,7,21,15,36,3,113,WIGAN,5,4,0,10,6,10,0,61,1
2006,WEST HAM,4,4,1,14,4,12,0,45,ASTON VILLA,5,9,5,35,19,27,3,137,0
2006,BOLTON,10,2,5,22,10,21,1,142,MIDDLESBROUGH,3,8,6,23,5,20,0,129,0
2006,CHARLTON,5,11,3,24,13,17,3,97,PORTSMOUTH,2,15,2,40,19,17,0,125,-1
2006,EVERTON,7,9,2,16,7,35,3,105,WIGAN,5,4,0,10,6,10,0,61,0
2006,BLACKBURN,9,6,2,22,9,28,3,115,MAN CITY,5,7,7,26,16,25,1,99,1
2006,CHELSEA,17,0,3,43,17,21,0,163,LIVERPOOL,7,7,3,18,11,22,4,75,1
2006,MAN UNITED,11,2,6,32,16,26,0,185,ARSENAL,7,7,5,17,9,34,2,70,-1
2006,TOTTENHAM,13,2,5,36,13,29,1,140,FULHAM,2,13,5,36,14,25,2,150,0
2006,WEST HAM,4,4,1,14,4,12,0,45,NEWCASTLE,4,12,4,26,10,29,1,131,-1
2006,LIVERPOOL,12,3,4,27,15,21,1,144,NEWCASTLE,4,12,4,26,10,29,1,131,1
2006,ASTON VILLA,6,7,6,22,9,22,1,107,CHARLTON,6,7,4,21,8,17,0,137,1
2006,FULHAM,10,3,5,33,15,26,1,92,CHELSEA,15,1,2,7,5,37,2,80,-1
2006,LIVERPOOL,12,3,4,27,15,21,1,144,TOTTENHAM,3,8,7,25,11,15,1,120,1
2006,MAN CITY,10,5,4,26,12,23,0,116,WEST HAM,3,4,4,15,8,21,1,84,1
2006,MIDDLESBROUGH,6,6,8,26,14,27,2,144,BLACKBURN,5,9,6,20,8,35,3,107,-1
2006,NEWCASTLE,8,2,7,17,10,25,4,120,EVERTON,5,12,3,40,16,18,4,150,0
2006,PORTSMOUTH,5,7,7,21,15,36,3,113,BOLTON,9,6,4,23,9,17,0,132,-1
2006,BOLTON,10,2,5,22,10,21,1,142,LIVERPOOL,7,7,3,18,11,22,4,75,1
2006,CHARLTON,5,11,3,24,13,17,3,97,ARSENAL,7,7,5,17,9,34,2,70,-1
2006,CHELSEA,17,0,3,43,17,21,0,163,ASTON VILLA,5,9,5,35,19,27,3,137,0
2006,EVERTON,7,9,2,16,7,35,3,105,MAN CITY,5,7,7,26,16,25,1,99,0
2006,BLACKBURN,9,6,2,22,9,28,3,115,WIGAN,5,4,0,10,6,10,0,61,1
2006,MAN UNITED,11,2,6,32,16,26,0,185,NEWCASTLE,4,12,4,26,10,29,1,131,1
2006,TOTTENHAM,13,2,5,36,13,29,1,140,PORTSMOUTH,2,15,2,40,19,17,0,125,1
2006,ASTON VILLA,6,7,6,22,9,22,1,107,TOTTENHAM,3,8,7,25,11,15,1,120,0
2006,LIVERPOOL,12,3,4,27,15,21,1,144,BLACKBURN,5,9,6,20,8,35,3,107,0
2006,MIDDLESBROUGH,6,6,8,26,14,27,2,144,EVERTON,5,12,3,40,16,18,4,150,1
2006,PORTSMOUTH,5,7,7,21,15,36,3,113,WEST HAM,3,4,4,15,8,21,1,84,1
2006,WIGAN,6,4,1,16,8,11,1,64,MAN UNITED,13,3,3,17,10,33,2,90,-1
2006,NEWCASTLE,8,2,7,17,10,25,4,120,BOLTON,9,6,4,23,9,17,0,132,-1
2006,FULHAM,10,3,5,33,15,26,1,92,CHARLTON,6,7,4,21,8,17,0,137,1
2006,ASTON VILLA,6,7,6,22,9,22,1,107,FULHAM,2,13,5,36,14,25,2,150,0
2006,CHELSEA,17,0,3,43,17,21,0,163,PORTSMOUTH,2,15,2,40,19,17,0,125,1
2006,WIGAN,6,4,1,16,8,11,1,64,MAN CITY,5,7,7,26,16,25,1,99,1
2006,BLACKBURN,9,6,2,22,9,28,3,115,BOLTON,9,6,4,23,9,17,0,132,-1
2006,MAN UNITED,11,2,6,32,16,26,0,185,LIVERPOOL,7,7,3,18,11,22,4,75,1
2006,MIDDLESBROUGH,6,6,8,26,14,27,2,144,NEWCASTLE,4,12,4,26,10,29,1,131,1
2006,TOTTENHAM,13,2,5,36,13,29,1,140,WEST HAM,3,4,4,15,8,21,1,84,1
2006,ARSENAL,15,2,1,47,26,25,0,156,EVERTON,5,12,3,40,16,18,4,150,0
2006,BOLTON,10,2,5,22,10,21,1,142,MAN UNITED,13,3,3,17,10,33,2,90,-1
2006,FULHAM,10,3,5,33,15,26,1,92,WIGAN,5,4,0,10,6,10,0,61,-1
2006,LIVERPOOL,12,3,4,27,15,21,1,144,ASTON VILLA,5,9,5,35,19,27,3,137,1
2006,NEWCASTLE,8,2,7,17,10,25,4,120,CHARLTON,6,7,4,21,8,17,0,137,0
2006,WEST HAM,4,4,1,14,4,12,0,45,BLACKBURN,5,9,6,20,8,35,3,107,1
2006,MAN CITY,10,5,4,26,12,23,0,116,MIDDLESBROUGH,3,8,6,23,5,20,0,129,1
2006,BOLTON,10,2,5,22,10,21,1,142,WIGAN,5,4,0,10,6,10,0,61,-1
2006,CHARLTON,5,11,3,24,13,17,3,97,MAN CITY,5,7,7,26,16,25,1,99,1
2006,FULHAM,10,3,5,33,15,26,1,92,EVERTON,5,12,3,40,16,18,4,150,1
2006,MAN UNITED,11,2,6,32,16,26,0,185,PORTSMOUTH,2,15,2,40,19,17,0,125,1
2006,ASTON VILLA,6,7,6,22,9,22,1,107,BLACKBURN,5,9,6,20,8,35,3,107,1
2006,TOTTENHAM,13,2,5,36,13,29,1,140,CHELSEA,15,1,2,7,5,37,2,80,1
2006,WEST HAM,4,4,1,14,4,12,0,45,ARSENAL,7,7,5,17,9,34,2,70,1
