AÑO,LOCAL_EQUIPO,LOCAL_VICTORIAS, LOCAL_DERROTAS, LOCAL_EMPATES, LOCAL_GOL,LOCAL_GOL_HT  ,LOCAL_AMARILLA ,LOCAL_ROJA,LOCAL_TIRO_ARCO,VISITA_EQUIPO,VISITA_VICTORIAS, VISITA_DERROTAS, VISITA_EMPATES, VISITA_GOL,VISITA_GOL_HT  ,VISITA_AMARILLA ,VISITA_ROJA,VISITA_TIRO_ARCO,RESULTADO
2010,ASTON VILLA,9,4,6,28,17,21,0,132,WEST HAM,3,9,7,27,13,33,3,166,1
2010,BLACKBURN,8,3,8,25,7,28,2,137,EVERTON,4,7,7,24,13,15,1,126,1
2010,BOLTON,6,6,7,29,14,32,2,130,FULHAM,4,8,7,25,12,18,1,139,0
2010,CHELSEA,16,0,3,43,16,11,0,213,WEST BROM,0,5,4,15,8,10,1,73,1
2010,SUNDERLAND,8,7,4,28,12,37,2,105,BIRMINGHAM,4,4,2,13,6,11,0,103,0
2010,TOTTENHAM,14,3,2,40,17,23,0,192,MAN CITY,4,9,6,27,12,30,2,127,0
2010,WOLVES,3,5,2,9,3,14,0,78,STOKE,3,11,5,31,16,14,0,181,1
2010,LIVERPOOL,12,2,5,51,17,22,1,192,ARSENAL,10,3,6,23,5,38,2,108,0
2010,MAN UNITED,17,2,2,47,21,26,1,205,NEWCASTLE,1,6,2,15,8,15,0,66,1
2010,BIRMINGHAM,5,2,3,8,3,16,1,62,BLACKBURN,3,13,3,42,17,24,1,162,1
2010,EVERTON,9,3,7,33,11,21,1,159,WOLVES,2,6,2,21,10,4,0,87,0
2010,STOKE,9,4,5,21,11,37,1,77,TOTTENHAM,6,7,6,31,10,31,1,147,-1
2010,WEST BROM,3,5,1,13,5,19,1,62,SUNDERLAND,1,12,6,31,11,24,0,146,1
2010,WEST HAM,8,7,4,28,13,29,1,134,BOLTON,2,10,5,30,10,25,0,147,-1
2010,WIGAN,6,6,6,16,7,25,1,121,CHELSEA,11,6,2,19,7,30,1,114,-1
2010,FULHAM,11,6,2,27,10,20,0,128,MAN UNITED,14,5,0,15,7,32,2,112,0
2010,NEWCASTLE,1,4,4,8,3,10,2,63,ASTON VILLA,7,7,5,27,12,26,4,141,1
2010,MAN CITY,14,1,3,38,21,18,1,144,LIVERPOOL,10,6,3,21,9,37,3,102,1
2010,BLACKBURN,8,3,8,25,7,28,2,137,ARSENAL,10,3,6,23,5,38,2,108,-1
2010,CHELSEA,16,0,3,43,16,11,0,213,STOKE,3,11,5,31,16,14,0,181,1
2010,MAN UNITED,17,2,2,47,21,26,1,205,WEST HAM,3,9,7,27,13,33,3,166,1
2010,TOTTENHAM,14,3,2,40,17,23,0,192,WIGAN,3,14,3,47,16,23,1,175,-1
2010,WOLVES,3,5,2,9,3,14,0,78,NEWCASTLE,1,6,2,15,8,15,0,66,0
2010,ASTON VILLA,9,4,6,28,17,21,0,132,EVERTON,4,7,7,24,13,15,1,126,1
2010,BOLTON,6,6,7,29,14,32,2,130,BIRMINGHAM,4,4,2,13,6,11,0,103,0
2010,LIVERPOOL,12,2,5,51,17,22,1,192,WEST BROM,0,5,4,15,8,10,1,73,1
2010,SUNDERLAND,8,7,4,28,12,37,2,105,MAN CITY,4,9,6,27,12,30,2,127,1
2010,ARSENAL,13,2,3,42,19,19,0,185,BOLTON,2,10,5,30,10,25,0,147,1
2010,EVERTON,9,3,7,33,11,21,1,159,MAN UNITED,14,5,0,15,7,32,2,112,0
2010,FULHAM,11,6,2,27,10,20,0,128,WOLVES,2,6,2,21,10,4,0,87,1
2010,MAN CITY,14,1,3,38,21,18,1,144,BLACKBURN,3,13,3,42,17,24,1,162,0
2010,WEST BROM,3,5,1,13,5,19,1,62,TOTTENHAM,6,7,6,31,10,31,1,147,0
2010,WEST HAM,8,7,4,28,13,29,1,134,CHELSEA,11,6,2,19,7,30,1,114,-1
2010,WIGAN,6,6,6,16,7,25,1,121,SUNDERLAND,1,12,6,31,11,24,0,146,0
2010,BIRMINGHAM,5,2,3,8,3,16,1,62,LIVERPOOL,10,6,3,21,9,37,3,102,0
2010,STOKE,9,4,5,21,11,37,1,77,ASTON VILLA,7,7,5,27,12,26,4,141,1
2010,ASTON VILLA,9,4,6,28,17,21,0,132,BOLTON,2,10,5,30,10,25,0,147,0
2010,BLACKBURN,8,3,8,25,7,28,2,137,FULHAM,4,8,7,25,12,18,1,139,0
2010,EVERTON,9,3,7,33,11,21,1,159,NEWCASTLE,1,6,2,15,8,15,0,66,-1
2010,STOKE,9,4,5,21,11,37,1,77,WEST HAM,3,9,7,27,13,33,3,166,0
2010,SUNDERLAND,8,7,4,28,12,37,2,105,ARSENAL,10,3,6,23,5,38,2,108,0
2010,TOTTENHAM,14,3,2,40,17,23,0,192,WOLVES,2,6,2,21,10,4,0,87,1
2010,WEST BROM,3,5,1,13,5,19,1,62,BIRMINGHAM,4,4,2,13,6,11,0,103,1
2010,MAN UNITED,17,2,2,47,21,26,1,205,LIVERPOOL,10,6,3,21,9,37,3,102,1
2010,WIGAN,6,6,6,16,7,25,1,121,MAN CITY,4,9,6,27,12,30,2,127,-1
2010,ARSENAL,13,2,3,42,19,19,0,185,WEST BROM,0,5,4,15,8,10,1,73,-1
2010,BIRMINGHAM,5,2,3,8,3,16,1,62,WIGAN,3,14,3,47,16,23,1,175,0
2010,FULHAM,11,6,2,27,10,20,0,128,EVERTON,4,7,7,24,13,15,1,126,0
2010,LIVERPOOL,12,2,5,51,17,22,1,192,SUNDERLAND,1,12,6,31,11,24,0,146,0
2010,MAN CITY,14,1,3,38,21,18,1,144,CHELSEA,11,6,2,19,7,30,1,114,1
2010,WEST HAM,8,7,4,28,13,29,1,134,TOTTENHAM,6,7,6,31,10,31,1,147,1
2010,BOLTON,6,6,7,29,14,32,2,130,MAN UNITED,14,5,0,15,7,32,2,112,0
2010,NEWCASTLE,1,4,4,8,3,10,2,63,STOKE,3,11,5,31,16,14,0,181,-1
2010,WOLVES,3,5,2,9,3,14,0,78,ASTON VILLA,7,7,5,27,12,26,4,141,-1
2010,BIRMINGHAM,5,2,3,8,3,16,1,62,EVERTON,4,7,7,24,13,15,1,126,-1
2010,STOKE,9,4,5,21,11,37,1,77,BLACKBURN,3,13,3,42,17,24,1,162,1
2010,SUNDERLAND,8,7,4,28,12,37,2,105,MAN UNITED,14,5,0,15,7,32,2,112,0
2010,TOTTENHAM,14,3,2,40,17,23,0,192,ASTON VILLA,7,7,5,27,12,26,4,141,1
2010,WEST BROM,3,5,1,13,5,19,1,62,BOLTON,2,10,5,30,10,25,0,147,0
2010,WEST HAM,8,7,4,28,13,29,1,134,FULHAM,4,8,7,25,12,18,1,139,0
2010,WIGAN,6,6,6,16,7,25,1,121,WOLVES,2,6,2,21,10,4,0,87,1
2010,CHELSEA,16,0,3,43,16,11,0,213,ARSENAL,10,3,6,23,5,38,2,108,1
2010,MAN CITY,14,1,3,38,21,18,1,144,NEWCASTLE,1,6,2,15,8,15,0,66,1
2010,ARSENAL,13,2,3,42,19,19,0,185,BIRMINGHAM,4,4,2,13,6,11,0,103,1
2010,ASTON VILLA,9,4,6,28,17,21,0,132,CHELSEA,11,6,2,19,7,30,1,114,0
2010,BOLTON,6,6,7,29,14,32,2,130,STOKE,3,11,5,31,16,14,0,181,1
2010,FULHAM,11,6,2,27,10,20,0,128,TOTTENHAM,6,7,6,31,10,31,1,147,-1
2010,MAN UNITED,17,2,2,47,21,26,1,205,WEST BROM,0,5,4,15,8,10,1,73,0
2010,NEWCASTLE,1,4,4,8,3,10,2,63,WIGAN,3,14,3,47,16,23,1,175,0
2010,WOLVES,3,5,2,9,3,14,0,78,WEST HAM,3,9,7,27,13,33,3,166,0
2010,EVERTON,9,3,7,33,11,21,1,159,LIVERPOOL,10,6,3,21,9,37,3,102,1
2010,BLACKBURN,8,3,8,25,7,28,2,137,SUNDERLAND,1,12,6,31,11,24,0,146,0
2010,CHELSEA,16,0,3,43,16,11,0,213,WOLVES,2,6,2,21,10,4,0,87,1
2010,SUNDERLAND,8,7,4,28,12,37,2,105,ASTON VILLA,7,7,5,27,12,26,4,141,1
2010,TOTTENHAM,14,3,2,40,17,23,0,192,EVERTON,4,7,7,24,13,15,1,126,0
2010,WEST BROM,3,5,1,13,5,19,1,62,FULHAM,4,8,7,25,12,18,1,139,1
2010,WEST HAM,8,7,4,28,13,29,1,134,NEWCASTLE,1,6,2,15,8,15,0,66,-1
2010,WIGAN,6,6,6,16,7,25,1,121,BOLTON,2,10,5,30,10,25,0,147,0
2010,LIVERPOOL,12,2,5,51,17,22,1,192,BLACKBURN,3,13,3,42,17,24,1,162,1
2010,MAN CITY,14,1,3,38,21,18,1,144,ARSENAL,10,3,6,23,5,38,2,108,-1
2010,STOKE,9,4,5,21,11,37,1,77,MAN UNITED,14,5,0,15,7,32,2,112,-1
2010,ARSENAL,13,2,3,42,19,19,0,185,WEST HAM,3,9,7,27,13,33,3,166,1
2010,BLACKBURN,8,3,8,25,7,28,2,137,CHELSEA,11,6,2,19,7,30,1,114,-1
2010,EVERTON,9,3,7,33,11,21,1,159,STOKE,3,11,5,31,16,14,0,181,1
2010,FULHAM,11,6,2,27,10,20,0,128,WIGAN,3,14,3,47,16,23,1,175,1
2010,MAN UNITED,17,2,2,47,21,26,1,205,TOTTENHAM,6,7,6,31,10,31,1,147,1
2010,WOLVES,3,5,2,9,3,14,0,78,MAN CITY,4,9,6,27,12,30,2,127,1
2010,ASTON VILLA,9,4,6,28,17,21,0,132,BIRMINGHAM,4,4,2,13,6,11,0,103,0
2010,BOLTON,6,6,7,29,14,32,2,130,LIVERPOOL,10,6,3,21,9,37,3,102,-1
2010,NEWCASTLE,1,4,4,8,3,10,2,63,SUNDERLAND,1,12,6,31,11,24,0,146,1
2010,BIRMINGHAM,5,2,3,8,3,16,1,62,WEST HAM,3,9,7,27,13,33,3,166,0
2010,BLACKBURN,8,3,8,25,7,28,2,137,WIGAN,3,14,3,47,16,23,1,175,1
2010,BOLTON,6,6,7,29,14,32,2,130,TOTTENHAM,6,7,6,31,10,31,1,147,1
2010,FULHAM,11,6,2,27,10,20,0,128,ASTON VILLA,7,7,5,27,12,26,4,141,0
2010,MAN UNITED,17,2,2,47,21,26,1,205,WOLVES,2,6,2,21,10,4,0,87,1
2010,SUNDERLAND,8,7,4,28,12,37,2,105,STOKE,3,11,5,31,16,14,0,181,1
2010,ARSENAL,13,2,3,42,19,19,0,185,NEWCASTLE,1,6,2,15,8,15,0,66,-1
