AÑO,LOCAL_EQUIPO,LOCAL_VICTORIAS, LOCAL_DERROTAS, LOCAL_EMPATES, LOCAL_GOL,LOCAL_GOL_HT  ,LOCAL_AMARILLA ,LOCAL_ROJA,LOCAL_TIRO_ARCO,VISITA_EQUIPO,VISITA_VICTORIAS, VISITA_DERROTAS, VISITA_EMPATES, VISITA_GOL,VISITA_GOL_HT  ,VISITA_AMARILLA ,VISITA_ROJA,VISITA_TIRO_ARCO,RESULTADO
2013,ARSENAL,10,4,4,48,22,29,0,169,ASTON VILLA,3,10,6,39,15,16,1,172,-1
2013,LIVERPOOL,6,7,6,24,10,18,1,178,STOKE,2,9,9,24,10,21,0,168,1
2013,NORWICH,8,6,5,24,13,26,1,138,EVERTON,5,4,12,28,11,30,3,134,0
2013,SUNDERLAND,8,6,6,24,9,26,0,123,FULHAM,4,11,4,36,21,20,2,174,-1
2013,SWANSEA,7,5,7,32,16,26,2,162,MAN UNITED,13,5,2,26,10,36,4,142,-1
2013,WEST BROM,11,7,2,30,12,24,0,161,SOUTHAMPTON,1,6,2,24,12,9,1,78,-1
2013,MAN CITY,16,1,3,49,16,24,1,210,NEWCASTLE,4,11,4,45,18,21,0,170,1
2013,CHELSEA,11,2,5,40,19,19,2,177,ASTON VILLA,3,10,6,39,15,16,1,172,1
2013,ASTON VILLA,3,8,9,17,6,28,2,125,LIVERPOOL,6,10,4,33,17,32,1,117,-1
2013,EVERTON,12,3,5,36,18,29,0,158,WEST BROM,6,9,5,33,14,21,0,178,0
2013,FULHAM,11,5,4,39,16,16,1,169,ARSENAL,9,5,6,20,11,36,1,121,-1
2013,NEWCASTLE,12,5,3,29,13,36,0,149,WEST HAM,2,5,2,11,6,15,1,90,0
2013,SOUTHAMPTON,3,4,3,14,4,11,0,66,SUNDERLAND,4,9,7,32,12,18,3,192,0
2013,TOTTENHAM,12,4,5,36,14,20,1,235,SWANSEA,8,9,3,23,11,29,0,165,1
2013,MAN UNITED,17,1,1,50,21,23,0,203,CHELSEA,8,6,6,25,8,32,0,153,0
2013,NEWCASTLE,12,5,3,29,13,36,0,149,FULHAM,4,11,4,36,21,20,2,174,1
2013,NORWICH,8,6,5,24,13,26,1,138,SOUTHAMPTON,1,6,2,24,12,9,1,78,1
2013,WEST HAM,4,3,3,17,8,12,1,74,STOKE,2,9,9,24,10,21,0,168,-1
2013,ARSENAL,10,4,4,48,22,29,0,169,TOTTENHAM,7,8,4,28,9,27,1,122,1
2013,LIVERPOOL,6,7,6,24,10,18,1,178,MAN UNITED,13,5,2,26,10,36,4,142,1
2013,WEST BROM,11,7,2,30,12,24,0,161,SWANSEA,8,9,3,23,11,29,0,165,-1
2013,ASTON VILLA,3,8,9,17,6,28,2,125,NEWCASTLE,4,11,4,45,18,21,0,170,-1
2013,EVERTON,12,3,5,36,18,29,0,158,CHELSEA,8,6,6,25,8,32,0,153,1
2013,FULHAM,11,5,4,39,16,16,1,169,WEST BROM,6,9,5,33,14,21,0,178,0
2013,STOKE,8,2,9,25,12,22,2,101,MAN CITY,10,5,5,16,4,32,0,104,0
2013,SUNDERLAND,8,6,6,24,9,26,0,123,ARSENAL,9,5,6,20,11,36,1,121,-1
2013,TOTTENHAM,12,4,5,36,14,20,1,235,NORWICH,5,9,6,36,20,16,3,159,1
2013,SOUTHAMPTON,3,4,3,14,4,11,0,66,WEST HAM,2,5,2,11,6,15,1,90,0
2013,SWANSEA,7,5,7,32,16,26,2,162,LIVERPOOL,6,10,4,33,17,32,1,117,0
2013,CHELSEA,11,2,5,40,19,19,2,177,FULHAM,4,11,4,36,21,20,2,174,1
2013,LIVERPOOL,6,7,6,24,10,18,1,178,SOUTHAMPTON,1,6,2,24,12,9,1,78,-1
2013,NORWICH,8,6,5,24,13,26,1,138,ASTON VILLA,3,10,6,39,15,16,1,172,-1
2013,WEST BROM,11,7,2,30,12,24,0,161,SUNDERLAND,4,9,7,32,12,18,3,192,1
2013,WEST HAM,4,3,3,17,8,12,1,74,EVERTON,5,4,12,28,11,30,3,134,-1
2013,ARSENAL,10,4,4,48,22,29,0,169,STOKE,2,9,9,24,10,21,0,168,1
2013,MAN CITY,16,1,3,49,16,24,1,210,MAN UNITED,13,5,2,26,10,36,4,142,1
2013,ASTON VILLA,3,8,9,17,6,28,2,125,MAN CITY,10,5,5,16,4,32,0,104,1
2013,MAN UNITED,17,1,1,50,21,23,0,203,WEST BROM,6,9,5,33,14,21,0,178,-1
2013,SWANSEA,7,5,7,32,16,26,2,162,ARSENAL,9,5,6,20,11,36,1,121,-1
2013,TOTTENHAM,12,4,5,36,14,20,1,235,CHELSEA,8,6,6,25,8,32,0,153,0
2013,STOKE,8,2,9,25,12,22,2,101,NORWICH,5,9,6,36,20,16,3,159,-1
2013,SUNDERLAND,8,6,6,24,9,26,0,123,LIVERPOOL,6,10,4,33,17,32,1,117,-1
2013,EVERTON,12,3,5,36,18,29,0,158,NEWCASTLE,4,11,4,45,18,21,0,170,1
2013,FULHAM,11,5,4,39,16,16,1,169,STOKE,2,9,9,24,10,21,0,168,1
2013,MAN CITY,16,1,3,49,16,24,1,210,EVERTON,5,4,12,28,11,30,3,134,1
2013,SUNDERLAND,8,6,6,24,9,26,0,123,MAN UNITED,13,5,2,26,10,36,4,142,-1
2013,NORWICH,8,6,5,24,13,26,1,138,CHELSEA,8,6,6,25,8,32,0,153,-1
2013,SOUTHAMPTON,3,4,3,14,4,11,0,66,SWANSEA,8,9,3,23,11,29,0,165,1
2013,TOTTENHAM,12,4,5,36,14,20,1,235,WEST HAM,2,5,2,11,6,15,1,90,-1
2013,WEST BROM,11,7,2,30,12,24,0,161,ARSENAL,9,5,6,20,11,36,1,121,0
2013,ARSENAL,10,4,4,48,22,29,0,169,NORWICH,5,9,6,36,20,16,3,159,1
2013,MAN UNITED,17,1,1,50,21,23,0,203,SOUTHAMPTON,1,6,2,24,12,9,1,78,0
2013,NEWCASTLE,12,5,3,29,13,36,0,149,LIVERPOOL,6,10,4,33,17,32,1,117,0
2013,STOKE,8,2,9,25,12,22,2,101,WEST BROM,6,9,5,33,14,21,0,178,0
2013,SWANSEA,7,5,7,32,16,26,2,162,SUNDERLAND,4,9,7,32,12,18,3,192,1
2013,WEST HAM,4,3,3,17,8,12,1,74,MAN CITY,10,5,5,16,4,32,0,104,-1
2013,ASTON VILLA,3,8,9,17,6,28,2,125,TOTTENHAM,7,8,4,28,9,27,1,122,-1
2013,ASTON VILLA,3,8,9,17,6,28,2,125,EVERTON,5,4,12,28,11,30,3,134,-1
2013,LIVERPOOL,6,7,6,24,10,18,1,178,WEST BROM,6,9,5,33,14,21,0,178,1
2013,MAN UNITED,17,1,1,50,21,23,0,203,STOKE,2,9,9,24,10,21,0,168,1
2013,SOUTHAMPTON,3,4,3,14,4,11,0,66,FULHAM,4,11,4,36,21,20,2,174,1
2013,CHELSEA,11,2,5,40,19,19,2,177,MAN CITY,10,5,5,16,4,32,0,104,1
2013,SUNDERLAND,8,6,6,24,9,26,0,123,NEWCASTLE,4,11,4,45,18,21,0,170,1
2013,SWANSEA,7,5,7,32,16,26,2,162,WEST HAM,2,5,2,11,6,15,1,90,0
2013,ARSENAL,10,4,4,48,22,29,0,169,LIVERPOOL,6,10,4,33,17,32,1,117,1
2013,FULHAM,11,5,4,39,16,16,1,169,MAN UNITED,13,5,2,26,10,36,4,142,-1
2013,MAN CITY,16,1,3,49,16,24,1,210,NORWICH,5,9,6,36,20,16,3,159,1
2013,NEWCASTLE,12,5,3,29,13,36,0,149,CHELSEA,8,6,6,25,8,32,0,153,1
2013,STOKE,8,2,9,25,12,22,2,101,SOUTHAMPTON,1,6,2,24,12,9,1,78,0
2013,WEST HAM,4,3,3,17,8,12,1,74,ASTON VILLA,3,10,6,39,15,16,1,172,0
2013,EVERTON,12,3,5,36,18,29,0,158,TOTTENHAM,7,8,4,28,9,27,1,122,0
2013,CHELSEA,11,2,5,40,19,19,2,177,WEST BROM,6,9,5,33,14,21,0,178,0
2013,LIVERPOOL,6,7,6,24,10,18,1,178,FULHAM,4,11,4,36,21,20,2,174,1
2013,NORWICH,8,6,5,24,13,26,1,138,WEST HAM,2,5,2,11,6,15,1,90,1
2013,MAN UNITED,17,1,1,50,21,23,0,203,ARSENAL,9,5,6,20,11,36,1,121,1
2013,SUNDERLAND,8,6,6,24,9,26,0,123,MAN CITY,10,5,5,16,4,32,0,104,1
2013,SWANSEA,7,5,7,32,16,26,2,162,STOKE,2,9,9,24,10,21,0,168,0
2013,TOTTENHAM,12,4,5,36,14,20,1,235,NEWCASTLE,4,11,4,45,18,21,0,170,-1
2013,ARSENAL,10,4,4,48,22,29,0,169,SOUTHAMPTON,1,6,2,24,12,9,1,78,1
2013,EVERTON,12,3,5,36,18,29,0,158,LIVERPOOL,6,10,4,33,17,32,1,117,0
2013,FULHAM,11,5,4,39,16,16,1,169,SWANSEA,8,9,3,23,11,29,0,165,-1
2013,NEWCASTLE,12,5,3,29,13,36,0,149,NORWICH,5,9,6,36,20,16,3,159,1
2013,STOKE,8,2,9,25,12,22,2,101,SUNDERLAND,4,9,7,32,12,18,3,192,1
2013,WEST HAM,4,3,3,17,8,12,1,74,CHELSEA,8,6,6,25,8,32,0,153,-1
2013,MAN CITY,16,1,3,49,16,24,1,210,TOTTENHAM,7,8,4,28,9,27,1,122,1
2013,WEST BROM,11,7,2,30,12,24,0,161,ASTON VILLA,3,10,6,39,15,16,1,172,0
2013,ASTON VILLA,3,8,9,17,6,28,2,125,SUNDERLAND,4,9,7,32,12,18,3,192,0
2013,EVERTON,12,3,5,36,18,29,0,158,STOKE,2,9,9,24,10,21,0,168,1
2013,NEWCASTLE,12,5,3,29,13,36,0,149,WEST BROM,6,9,5,33,14,21,0,178,1
2013,WEST HAM,4,3,3,17,8,12,1,74,FULHAM,4,11,4,36,21,20,2,174,1
2013,CHELSEA,11,2,5,40,19,19,2,177,SOUTHAMPTON,1,6,2,24,12,9,1,78,1
2013,MAN CITY,16,1,3,49,16,24,1,210,SWANSEA,8,9,3,23,11,29,0,165,1
2013,TOTTENHAM,12,4,5,36,14,20,1,235,MAN UNITED,13,5,2,26,10,36,4,142,0
2013,FULHAM,11,5,4,39,16,16,1,169,TOTTENHAM,7,8,4,28,9,27,1,122,-1
2013,LIVERPOOL,6,7,6,24,10,18,1,178,NORWICH,5,9,6,36,20,16,3,159,1
2013,MAN UNITED,17,1,1,50,21,23,0,203,EVERTON,5,4,12,28,11,30,3,134,-1
2013,SOUTHAMPTON,3,4,3,14,4,11,0,66,ASTON VILLA,3,10,6,39,15,16,1,172,-1
2013,SUNDERLAND,8,6,6,24,9,26,0,123,CHELSEA,8,6,6,25,8,32,0,153,-1
2013,SWANSEA,7,5,7,32,16,26,2,162,NEWCASTLE,4,11,4,45,18,21,0,170,1
2013,WEST BROM,11,7,2,30,12,24,0,161,MAN CITY,10,5,5,16,4,32,0,104,-1
2013,LIVERPOOL,6,7,6,24,10,18,1,178,WEST HAM,2,5,2,11,6,15,1,90,1
2013,MAN UNITED,17,1,1,50,21,23,0,203,NEWCASTLE,4,11,4,45,18,21,0,170,-1
2013,SOUTHAMPTON,3,4,3,14,4,11,0,66,MAN CITY,10,5,5,16,4,32,0,104,0
2013,STOKE,8,2,9,25,12,22,2,101,CHELSEA,8,6,6,25,8,32,0,153,1
2013,SUNDERLAND,8,6,6,24,9,26,0,123,TOTTENHAM,7,8,4,28,9,27,1,122,-1
2013,WEST BROM,11,7,2,30,12,24,0,161,NORWICH,5,9,6,36,20,16,3,159,-1
2013,ARSENAL,10,4,4,48,22,29,0,169,EVERTON,5,4,12,28,11,30,3,134,0
2013,FULHAM,11,5,4,39,16,16,1,169,ASTON VILLA,3,10,6,39,15,16,1,172,1
2013,EVERTON,12,3,5,36,18,29,0,158,FULHAM,4,11,4,36,21,20,2,174,1
2013,MAN CITY,16,1,3,49,16,24,1,210,ARSENAL,9,5,6,20,11,36,1,121,1
2013,NEWCASTLE,12,5,3,29,13,36,0,149,SOUTHAMPTON,1,6,2,24,12,9,1,78,0
2013,WEST HAM,4,3,3,17,8,12,1,74,SUNDERLAND,4,9,7,32,12,18,3,192,0
2013,ASTON VILLA,3,8,9,17,6,28,2,125,MAN UNITED,13,5,2,26,10,36,4,142,-1
2013,NORWICH,8,6,5,24,13,26,1,138,SWANSEA,8,9,3,23,11,29,0,165,0
2013,TOTTENHAM,12,4,5,36,14,20,1,235,LIVERPOOL,6,10,4,33,17,32,1,117,-1
2013,FULHAM,11,5,4,39,16,16,1,169,MAN CITY,10,5,5,16,4,32,0,104,-1
2013,MAN UNITED,17,1,1,50,21,23,0,203,WEST HAM,2,5,2,11,6,15,1,90,1
2013,STOKE,8,2,9,25,12,22,2,101,ASTON VILLA,3,10,6,39,15,16,1,172,1
2013,SUNDERLAND,8,6,6,24,9,26,0,123,NORWICH,5,9,6,36,20,16,3,159,0
2013,SOUTHAMPTON,3,4,3,14,4,11,0,66,TOTTENHAM,7,8,4,28,9,27,1,122,-1
2013,SWANSEA,7,5,7,32,16,26,2,162,EVERTON,5,4,12,28,11,30,3,134,-1
2013,ARSENAL,10,4,4,48,22,29,0,169,CHELSEA,8,6,6,25,8,32,0,153,0
2013,CHELSEA,11,2,5,40,19,19,2,177,SWANSEA,8,9,3,23,11,29,0,165,1
2013,EVERTON,12,3,5,36,18,29,0,158,SUNDERLAND,4,9,7,32,12,18,3,192,-1
2013,MAN CITY,16,1,3,49,16,24,1,210,LIVERPOOL,6,10,4,33,17,32,1,117,1
2013,NEWCASTLE,12,5,3,29,13,36,0,149,STOKE,2,9,9,24,10,21,0,168,1
2013,NORWICH,8,6,5,24,13,26,1,138,FULHAM,4,11,4,36,21,20,2,174,-1
2013,TOTTENHAM,12,4,5,36,14,20,1,235,WEST BROM,6,9,5,33,14,21,0,178,0
2013,WEST HAM,4,3,3,17,8,12,1,74,ARSENAL,9,5,6,20,11,36,1,121,-1
2013,ASTON VILLA,3,8,9,17,6,28,2,125,SWANSEA,8,9,3,23,11,29,0,165,0
2013,NORWICH,8,6,5,24,13,26,1,138,MAN UNITED,13,5,2,26,10,36,4,142,-1
2013,WEST HAM,4,3,3,17,8,12,1,74,WEST BROM,6,9,5,33,14,21,0,178,0
2013,CHELSEA,11,2,5,40,19,19,2,177,LIVERPOOL,6,10,4,33,17,32,1,117,1
2013,EVERTON,12,3,5,36,18,29,0,158,SOUTHAMPTON,1,6,2,24,12,9,1,78,1
2013,NEWCASTLE,12,5,3,29,13,36,0,149,ARSENAL,9,5,6,20,11,36,1,121,-1
2013,TOTTENHAM,12,4,5,36,14,20,1,235,STOKE,2,9,9,24,10,21,0,168,1
2013,MAN CITY,16,1,3,49,16,24,1,210,STOKE,2,9,9,24,10,21,0,168,1
2013,SOUTHAMPTON,3,4,3,14,4,11,0,66,ARSENAL,9,5,6,20,11,36,1,121,0
2013,SWANSEA,7,5,7,32,16,26,2,162,ASTON VILLA,3,10,6,39,15,16,1,172,0
2013,TOTTENHAM,12,4,5,36,14,20,1,235,READING,0,8,2,18,4,10,0,104,1
2013,WEST BROM,11,7,2,30,12,24,0,161,FULHAM,4,11,4,36,21,20,2,174,-1
2013,WEST HAM,4,3,3,17,8,12,1,74,NORWICH,5,9,6,36,20,16,3,159,1
2013,WIGAN,6,8,6,26,12,29,0,144,MAN UNITED,13,5,2,26,10,36,4,142,-1
2013,CHELSEA,11,2,5,40,19,19,2,177,QPR,0,15,4,40,19,22,0,194,-1
2013,LIVERPOOL,6,7,6,24,10,18,1,178,SUNDERLAND,4,9,7,32,12,18,3,192,1
2013,NEWCASTLE,12,5,3,29,13,36,0,149,EVERTON,5,4,12,28,11,30,3,134,-1
2013,ASTON VILLA,3,8,9,17,6,28,2,125,SOUTHAMPTON,1,6,2,24,12,9,1,78,-1
2013,EVERTON,12,3,5,36,18,29,0,158,SWANSEA,8,9,3,23,11,29,0,165,0
2013,FULHAM,11,5,4,39,16,16,1,169,WIGAN,7,11,1,31,9,32,0,166,0
2013,NORWICH,8,6,5,24,13,26,1,138,NEWCASTLE,4,11,4,45,18,21,0,170,0
2013,QPR,7,8,5,24,10,28,5,165,TOTTENHAM,7,8,4,28,9,27,1,122,0
2013,READING,2,3,5,15,5,13,0,44,WEST BROM,6,9,5,33,14,21,0,178,1
2013,STOKE,8,2,9,25,12,22,2,101,CHELSEA,8,6,6,25,8,32,0,153,-1
2013,SUNDERLAND,8,6,6,24,9,26,0,123,WEST HAM,2,5,2,11,6,15,1,90,1
2013,ARSENAL,10,4,4,48,22,29,0,169,MAN CITY,10,5,5,16,4,32,0,104,-1
2013,MAN UNITED,17,1,1,50,21,23,0,203,LIVERPOOL,6,10,4,33,17,32,1,117,1
2013,CHELSEA,11,2,5,40,19,19,2,177,SOUTHAMPTON,1,6,2,24,12,9,1,78,0
2013,LIVERPOOL,6,7,6,24,10,18,1,178,NORWICH,5,9,6,36,20,16,3,159,1
2013,MAN CITY,16,1,3,49,16,24,1,210,FULHAM,4,11,4,36,21,20,2,174,1
2013,NEWCASTLE,12,5,3,29,13,36,0,149,READING,0,8,2,18,4,10,0,104,-1
2013,SWANSEA,7,5,7,32,16,26,2,162,STOKE,2,9,9,24,10,21,0,168,1
2013,WEST BROM,11,7,2,30,12,24,0,161,ASTON VILLA,3,10,6,39,15,16,1,172,0
2013,WEST HAM,4,3,3,17,8,12,1,74,QPR,0,15,4,40,19,22,0,194,0
2013,WIGAN,6,8,6,26,12,29,0,144,SUNDERLAND,4,9,7,32,12,18,3,192,-1
